City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
224,Pointe Michel,DM,2022-10-14 15:07:52,15.25,-61.3833,82.31,71,12,7.27
225,Saldanha,ZA,2022-10-14 15:07:52,-33.0117,17.9442,61.36,79,62,29.3
226,Acarau,BR,2022-10-14 15:07:53,-2.8856,-40.12,89.29,52,18,20.02
227,Bengkulu,ID,2022-10-14 15:07:53,-3.8004,102.2655,75.34,89,100,3.8
228,Onverwacht,SR,2022-10-14 15:08:53,5.5833,-55.1833,90.86,62,40,9.22
229,Balkhash,KZ,2022-10-14 15:08:54,46.844,74.9804,53.28,41,88,1.7
230,Mantua,IT,2022-10-14 15:08:54,45.1667,10.7833,72.09,62,100,1.99
231,Severnyy,RU,2022-10-14 15:08:54,50.677,36.5532,46.44,53,0,4.47
232,Olafsvik,IS,2022-10-14 15:08:55,64.8945,-23.7142,40.06,81,88,32.03
233,Farmington,US,2022-10-14 15:04:54,36.7281,-108.2187,47.08,53,0,6.91
234,Pontes E Lacerda,BR,2022-10-14 15:08:55,-15.2261,-59.3353,86.99,53,100,4.43
235,Kalmunai,LK,2022-10-14 15:08:56,7.4167,81.8167,77.86,88,95,7.67
236,Semirom,IR,2022-10-14 15:08:56,31.4167,51.5667,56.37,19,0,1.28
237,Roald,NO,2022-10-14 15:08:56,62.5833,6.1333,51.33,71,75,8.05
238,Ihosy,MG,2022-10-14 15:07:27,-22.4,46.1167,72.18,51,12,16.42
239,Florence,IT,2022-10-14 15:08:57,43.7667,11.25,75.36,74,0,3.44
240,Kannauj,IN,2022-10-14 15:06:16,27.0546,79.922,77.13,59,0,4.81
241,Mattru,SL,2022-10-14 15:08:57,7.6244,-11.8332,85.5,63,86,1.88
242,Knysna,ZA,2022-10-14 15:08:58,-34.0363,23.0471,65.37,78,79,10.65
243,Svetlyy,RU,2022-10-14 15:08:58,54.675,20.1347,57.25,71,25,5.37
244,Aleksandrovskoye,RU,2022-10-14 15:08:58,44.7142,43.0008,59.83,56,100,3.87
245,Los Llanos De Aridane,ES,2022-10-14 15:08:59,28.6585,-17.9182,73.15,75,20,19.57
246,Strezhevoy,RU,2022-10-14 15:08:59,60.7333,77.5889,35.62,79,100,9.86
247,Tabou,CI,2022-10-14 15:08:59,4.423,-7.3528,78.84,84,45,10.6
248,Boende,CD,2022-10-14 15:09:00,-0.2167,20.8667,87.96,52,68,0.98
249,Caravelas,BR,2022-10-14 15:09:00,-17.7125,-39.2481,83.16,57,51,9.4
250,Baghdad,IQ,2022-10-14 15:07:26,33.3406,44.4009,87.71,23,0,5.75
251,Englewood,US,2022-10-14 15:09:01,39.6478,-104.9878,65.25,33,20,3.44
252,Cartagena Del Chaira,CO,2022-10-14 15:04:04,1.3349,-74.8429,90.32,47,53,4.81
253,Wladyslawowo,PL,2022-10-14 15:09:01,54.7909,18.4009,61.93,70,15,1.99
254,Turayf,SA,2022-10-14 15:05:58,31.6725,38.6637,77.43,27,0,9.28
255,Faya,SA,2022-10-14 15:09:02,18.3851,42.4509,64.92,46,4,5.28
256,Mahon,ES,2022-10-14 15:09:02,39.8885,4.2658,75.76,73,20,10.36
257,Massakory,TD,2022-10-14 15:09:02,12.996,15.7293,99.3,10,78,15.61
258,Soma,TR,2022-10-14 15:09:03,39.1855,27.6094,66.49,60,100,6.67
259,Serafimovskiy,RU,2022-10-14 15:09:03,54.4241,53.7964,43.74,83,100,8.9
260,Gazojak,TM,2022-10-14 15:09:04,41.1875,61.4036,66.58,25,100,10.85
261,Lenger,KZ,2022-10-14 15:09:04,42.183,69.8839,58.44,22,82,4.25
262,Ampanihy,MG,2022-10-14 15:09:04,-24.7,44.75,82.0,42,9,13.65
263,Novyy Karachay,RU,2022-10-14 15:09:05,43.8208,41.9032,51.01,82,100,1.7
264,Requena,ES,2022-10-14 15:09:05,39.4883,-1.1004,79.79,28,9,8.57
265,Sines,PT,2022-10-14 15:09:06,37.9562,-8.8698,69.3,78,9,5.01
266,Zaragoza,ES,2022-10-14 15:07:07,41.6561,-0.8773,80.85,38,0,7.0
267,Havelock,US,2022-10-14 15:09:06,34.8791,-76.9013,67.93,91,100,9.22
268,Kankon,IN,2022-10-14 15:09:07,15.0167,74.0167,79.21,88,100,3.49
269,Tuscaloosa,US,2022-10-14 15:07:40,33.2098,-87.5692,66.04,68,0,3.44
270,Candolim,IN,2022-10-14 15:09:07,15.5181,73.7626,79.52,85,100,1.34
271,Savonlinna,FI,2022-10-14 15:09:07,61.8699,28.88,50.05,87,100,4.61
272,Touros,BR,2022-10-14 15:09:08,-5.1989,-35.4608,85.95,53,7,19.1
273,Bud,US,2022-10-14 15:09:08,39.447,-86.1758,55.35,45,0,16.02
274,Aksarka,RU,2022-10-14 15:10:09,66.5606,67.7975,40.82,93,99,7.07
275,Itarema,BR,2022-10-14 15:10:09,-2.9248,-39.9167,89.01,50,25,19.95
276,Puerto Asis,CO,2022-10-14 15:10:10,0.5133,-76.5007,90.66,49,34,1.5
277,Zaruma,EC,2022-10-14 15:10:10,-3.6833,-79.6167,57.15,54,91,6.08
278,George,ZA,2022-10-14 15:10:10,-33.963,22.4617,60.35,94,100,12.66
279,Mizan Teferi,ET,2022-10-14 15:10:11,6.9833,35.5833,64.9,94,25,0.25
280,Praia Da Vitoria,PT,2022-10-14 15:10:11,38.7333,-27.0667,74.75,88,91,11.12
281,Muzhi,RU,2022-10-14 15:10:12,65.3667,64.6667,41.04,89,98,3.69
282,Mala,PE,2022-10-14 15:10:12,-12.6581,-76.6308,66.52,64,28,7.58
283,Winchester,GB,2022-10-14 15:10:12,51.0651,-1.3187,60.49,87,40,4.61
284,Agadir,MA,2022-10-14 15:08:39,30.4202,-9.5982,88.25,32,0,8.95
285,Hit,IQ,2022-10-14 15:10:13,33.6416,42.8251,84.63,17,0,3.83
286,Dwarka,IN,2022-10-14 15:10:13,22.2394,68.9678,83.68,60,2,17.49
287,Tevriz,RU,2022-10-14 15:10:13,57.509,72.4042,46.17,48,99,10.65
288,Naples,IT,2022-10-14 15:07:46,40.8333,14.25,73.62,65,20,9.22
289,Alizai,PK,2022-10-14 15:10:14,33.5383,70.3462,70.61,31,0,1.72
290,Padampur,IN,2022-10-14 15:10:15,29.6833,73.6167,83.66,21,0,3.33
291,Dingle,PH,2022-10-14 15:10:15,10.9995,122.6711,76.84,89,66,4.25
292,Iroquois Falls,CA,2022-10-14 15:10:16,48.7669,-80.6831,45.16,79,53,9.69
