City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
328,Marsa Matruh,EG,31.3525,27.2453,71.8,68,75,11.5,broken clouds
329,Fougamou,GA,-1.2154,10.5838,73.6,98,52,2.33,broken clouds
330,San Rafael,AR,-34.6177,-68.3301,54.19,87,75,14.97,heavy intensity rain
331,Seshcha,RU,53.7361,33.3387,44.08,97,78,7.36,broken clouds
332,Bulqize,AL,41.4917,20.2219,44.92,64,0,5.97,clear sky
333,Ostrovnoy,RU,68.0531,39.5131,44.83,91,100,22.37,overcast clouds
334,Grakhovo,RU,56.0502,51.9676,43.16,76,100,14.97,light rain
335,Farafangana,MG,-22.8167,47.8333,69.03,85,24,4.61,light rain
336,Waynesville,US,35.4887,-82.9887,62.46,53,21,4.0,few clouds
337,Afua,BR,-0.1567,-50.3867,81.0,75,42,8.23,scattered clouds
338,Montero,BO,-17.3333,-63.25,86.9,43,30,4.16,scattered clouds
339,Maltahohe,NA,-24.8333,16.9833,65.16,52,79,2.75,broken clouds
340,Falavarjan,IR,32.5553,51.5097,49.21,14,100,2.64,overcast clouds
341,Portel,BR,-1.9356,-50.8211,79.68,78,74,3.74,broken clouds
342,Port Blair,IN,11.6667,92.75,79.0,80,99,3.69,overcast clouds
343,Stokmarknes,NO,68.5646,14.9108,35.58,87,100,3.44,light rain
